title	year
it	2017
spider-man	2002
john wick	2014
godzilla	1998
transformers	2007
frozen	2013
jumanji	1995
black panther	2018
men in black	1997
jurassic park	1993
avatar	2009
toy story	1995
beetlejuice	1988
ghostbusters	1984
interstellar	2014
minions	2015
iron man	2008
top gun	1986
rambo	2008
titanic	1997
despicable me	2010
gravity	2013
the hunger games	2012
mission: impossible	1996
beauty and the beast	2014
pretty woman	1990
12 angry men	1957
captain marvel	2019
batman	1989
red sparrow	2018
ace ventura: when nature calls	1995
pocahontas	1995
saw	2004
saving private ryan	1998
man of steel	2013
the shawshank redemption	1994
the intouchables	2011
the green mile	1999
the godfather	1972
goodfellas	1990
forrest gump	1994
one flew over the cuckoo's nest	1975
the godfather: part ii	1974
the lord of the rings: the return of the king	2003
joker	2019
pulp fiction	1994
life is beautiful	1997
the great dictator	1940
amores perros	2000
jojo rabbit	2019
inside man	2006
call me by your name	2017
rosemary's baby	1968
annie hall	1977
deadpool	2016
mommy	2014
oldboy	2003
it's a wonderful life	1946
there will be blood	2007
parasite	2019
2001: a space odyssey	1968
taxi driver	1976
a separation	2011
the grand budapest hotel	2014
an elephant sitting still	2018
blade runner 2049	2017
the hunt	2012
good time	2017
roma	2018
inception	2010
portrait of a lady on fire	2019
first reformed	2017
ex machina	2014
amour	2012
spirited away	2001
mulholland drive	2001
city of god	2002
yi yi	2000
mary and max	2009
dogville	2003
children of men	2006
the pianist	2002
the passion of joan of arc	1928
metropolis	1927
the gold rush	1925
city lights	1931
casablanca	1942
bicycle thieves	1948
double indemnity	1944
children of paradise	1945
seven samurai	1954
the seventh seal	1957
tokyo story	1953
the good, the bad and the ugly	1966
psycho	1960
the apartment	1960
stalker	1979
alien	1979
monty python's life of brian	1979
avengers: end game	2019
avengers: infinity war	2018
the avengers	2012
furious 7	2015
aquaman	2018
skyfall	2012
the dark knight rises	2012
star wars: the force awakens	2015
the hobbit: the desolation of smaug	2013
bohemian rhapsody	2018
mission: impossible - fallout	2018
guardians of the galaxy	2014
life of pi	2012
armageddon	1998
ted	2012
sherlock holmes	2009
twister	1996
300	2006
la la land	2016
the exorcist	1973
1917	2019
inglourious basterds	2009
the conjuring	2013
us	2019
hero	2002
brokeback mountain	2005
star wars	1977
the birth of a nation	1915
all quiet on the western front	1930
gone with the wind	1939
the maltese falcon	1941
lawrence of arabia	1962
the graduate	1967
the sting	1973
jaws	1975
crouching tiger, hidden dragon	2000
princess mononoke	1997
amelie	2001
the motorcycle diaries	2004
volver	2006
cinema paradiso	1988
the lives of others	2006
once upon a time in the west	1968
three colours: white	1994
ida	2013
chungking express	1994
naked	1993
in the mood for love	2000
come and see	1985
ran	1985
possession	1981
die hard	1988
contratiempo	2016
toni erdmann	2016
perfect stranges	2016
m	1931
the rules of the game	1939
nights of cabiria	1957
touch of evil	1958
some like it hot	1959
diabolique	1955
ashes and diamonds	1958
rear window	1954
vertigo	1958
persona	1966
back to the future	1985
raiders of the lost ark	1981
aliens	1986
blade runner	1982
the terminator	1984
the blues brothers	1980
mad max 2	1981
the lighthouse	2019
whiplash	2014
nightcrawler	2014
embraces of the serpent	2015
her	2013
the florida project	2017
the handmaiden	2016
marriage story	2019
winter sleep	2014
logan	2017
toy story 4	2019
harry potter and the sorcerer's stone	2001
spectre	2015
pirates of the caribbean: the curse of the black pearl	2003
thor: the dark world	2013
the da vinci code	2006
wild tales	2014
incendies	2010
green book	2018
apocalypse now	1979
amadeus	1984
american pie	1999
drive	2011
rush	2013
rocky	1976
spider-man: far from home	2019
war for the planet of the apes	2017
