title_1	year_1	title_2	year_2	rating
ghostbusters	1984	ghostbusters	2016	OK
collateral	2004	mad max 2	1981	OK
american pie	1999	american reunion	2012	OK
forrest gump	1994	the truman show	1998	OK
pan's labyrinth	2006	wild tales	2014	NOT_OK
black panther	2018	captain america: civil war	2016	OK
jurassic park	1993	jurassic world	2015	OK
mad max 2	1981	where the wild things are	2009	NOT_OK
despicable me 2	2013	minions	2015	OK
first blood	1982	jaws	1975	OK
despicable me	2010	the peanuts movie	2015	OK
life of pi	2012	the nutcracker and the four realms	2018	OK
avengers: infinity war	2018	the avengers	2012	OK
ace ventura: when nature calls	1995	beverly hills cop	1984	NOT_OK
despicable me	2010	despicable me 2	2013	OK
jojo rabbit	2019	star wars: the last jedi	2017	NOT_OK
drive	2011	rush	2013	NOT_OK
blade runner	1982	cloud atlas	2012	OK
3 women	1977	rosemary's baby	1968	OK
jurassic park	1993	jurassic park iii	2001	OK
black panther	2018	the hunger games	2012	OK
divergent	2014	rambo	2008	NOT_OK
brokeback mountain	2005	pirates of the caribbean: the curse of the black pearl	2003	NOT_OK
goodfellas	1990	pulp fiction	1994	OK
inception	2010	iron man	2008	NOT_OK
edward scissorhands	1990	pretty woman	1990	NOT_OK
captain america: civil war	2016	the hunger games	2012	NOT_OK
batman begins	2005	the dark knight rises	2012	OK
mary and max	2009	rushmore	1998	OK
angels & demons	2009	the da vinci code	2006	OK
parasite	2019	the interview	2014	NOT_OK
call me by your name	2017	chocolat	2000	OK
gravity	2013	interstellar	2014	OK
il grido	1957	nights of cabiria	1957	OK
brokeback mountain	2005	little fockers	2010	NOT_OK
raw deal	1986	the maltese falcon	1941	OK
rosemary's baby	1968	ruby	1977	OK
city lights	1931	little darlings	1980	NOT_OK
aquamarine	2006	despicable me	2010	NOT_OK
psycho	1960	psycho ii	1983	OK
click	2006	the godfather	1972	NOT_OK
terminator salvation	2009	the terminator	1984	OK
jack reacher: never go back	2016	red sparrow	2018	OK
hope floats	1998	the graduate	1967	OK
it	2017	the conjuring	2013	OK
gravity	2013	the martian	2015	OK
inside man	2006	the usual suspects	1995	OK
star wars: the force awakens	2015	war for the planet of the apes	2017	OK
the lord of the rings: the return of the king	2003	the lord of the rings: the two towers	2002	OK
casablanca	1942	the conspirators	1944	OK
annabelle: creation	2017	it	2017	OK
first reformed	2017	halloween	2018	NOT_OK
drive	2011	pulp fiction	1994	NOT_OK
bohemian rhapsody	2018	whiplash	2014	OK
saving private ryan	1998	valkyrie	2008	OK
casablanca	1942	from here to eternity	1953	NOT_OK
alien vs. predator	2004	aliens	1986	OK
quantum of solace	2008	skyfall	2012	OK
annie hall	1977	chasing amy	1997	OK
green book	2018	the disaster artist	2017	NOT_OK
scream	1996	the exorcist	1973	OK
a separation	2011	offside	2006	OK
good time	2017	reindeer games	2000	OK
ace ventura: when nature calls	1995	beverly hills cop iii	1994	OK
a separation	2011	fireworks wednesday	2006	OK
inglourious basterds	2009	valkyrie	2008	OK
the diving bell and the butterfly	2007	the passion of joan of arc	1928	NOT_OK
back to the future	1985	back to the future part iii	1990	OK
amores perros	2000	talk to her	2002	OK
the last metro	1980	the passion of joan of arc	1928	NOT_OK
22 jump street	2014	ghostbusters	1984	NOT_OK
saving private ryan	1998	the pianist	2002	OK
some like it hot	1959	you've got mail	1998	NOT_OK
city of god	2002	elite squad	2007	OK
avengers: infinity war	2018	black panther	2018	OK
12 years a slave	2013	green book	2018	OK
toy story	1995	toy story 2	1999	OK
first reformed	2017	philomena	2013	NOT_OK
forrest gump	1994	the aviator	2004	NOT_OK
fast times at ridgemont high	1982	the graduate	1967	OK
captain marvel	2019	spider-man: far from home	2019	OK
edge of tomorrow	2014	interstellar	2014	OK
chronicle	2012	whiplash	2014	NOT_OK
secret window	2004	the da vinci code	2006	OK
fast & furious 6	2013	furious 7	2015	OK
bruce almighty	2003	ghostbusters	1984	NOT_OK
